Nota	Frecuencia (Hz)	Periodo original (ms)	Periodo dividido por dos (ms)
Do3	130.81	7.645	3.823
Do#3	138.59	7.215	3.608
Re3	146.83	6.805	3.402
Re#3	155.56	6.429	3.215
Mi3	164.81	6.077	3.038
Fa3	174.61	5.732	2.866
Fa#3	185.00	5.405	2.702
Sol3	196.00	5.102	2.551
Sol#3	207.65	4.820	2.410
La3	220.00	4.545	2.273
La#3	233.08	4.285	2.142
Si3	246.94	4.049	2.025
Do4	261.63	3.826	1.913
Do#4	277.18	3.609	1.804
Re4	293.66	3.405	1.703
Re#4	311.13	3.214	1.607
Mi4	329.63	3.036	1.518
Fa4	349.23	2.865	1.433
Fa#4	369.99	2.703	1.352
Sol4	391.99	2.555	1.277
Sol#4	415.30	2.407	1.203
La4	440.00	2.273	1.136
La#4	466.16	2.145	1.073
Si4	493.88	2.025	1.013
Do5	523.25	1.909	0.954
Do#5	554.37	1.804	0.902
Re5	587.33	1.701	0.850
Re#5	622.25	1.605	0.802
Mi5	659.26	1.518	0.759
Fa5	698.46	1.433	0.716
Fa#5	739.99	1.352	0.676
Sol5	783.99	1.277	0.638
Sol#5	830.61	1.203	0.602
La5	880.00	1.136	0.568
La#5	932.33	1.073	0.537
Si5	987.77	1.013	0.506
Do6	1046.50	0.954	0.477
